,Unnamed: 0,path,source_text,pred_text,ref_text,ASR_BLEU,COMET,METEOR,BLASER
10,10,common_voice_es_20006890.mp3,los personajes tienen sus antecedentes en un pasado con frecuencia bastante antiguo,characters of their antecedents in a very ancient confederacy,the characters have their background in a past frequently old,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10),0.5521553754806519,0.3188131313131313,3.74015212059021
11,11,common_voice_es_19956713.mp3,él es un inventor talentoso y un estratega natural,he is a talented inventor and a natural strategy,he is a talented inventor and a natural strategist,BLEU = 86.33 88.9/87.5/85.7/83.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),0.8280184864997864,0.8880208333333333,4.857790470123291
12,12,common_voice_es_19624390.mp3,polígrafo y bibliógrafo español,holograph and spanish bibliograph,spanish polygraph and bibliographer,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4),0.6955625414848328,0.375,3.906905174255371
13,13,common_voice_es_19676972.mp3,se habla en todo el sur de la provincia de castellón,he is in all the south of the province of castile,it is spoken throughout the province of castellon,BLEU = 14.99 36.4/20.0/11.1/6.2 (BP = 1.000 ratio = 1.375 hyp_len = 11 ref_len = 8),0.5992652177810669,0.4518072289156627,3.6832032203674316
14,14,common_voice_es_19669282.mp3,es la parte de la instalación que recibe energía del exterior,is part of the installation that receives energy from the exterior,that side of the facility that is powered from the exterior,BLEU = 19.08 63.6/30.0/11.1/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),0.856754720211029,0.5769944341372912,4.607244491577148
15,15,common_voice_es_19639098.mp3,puede completarse colocando encima sardinas o anchoas,can be completed in sardino or anchovy,you can complete it putting on the top sardines or anchovies,BLEU = 4.41 28.6/8.3/5.0/3.1 (BP = 0.565 ratio = 0.636 hyp_len = 7 ref_len = 11),0.4429236948490143,0.2977594339622642,3.984657049179077
16,16,common_voice_es_19976763.mp3,no participó en ninguna elección posterior y se acabó disolviendo,he didnt participate in any posterior election and he got dissolved,he didnt participated in any later election and it ended up been dissolved,BLEU = 11.25 63.6/30.0/5.6/3.1 (BP = 0.834 ratio = 0.846 hyp_len = 11 ref_len = 13),0.9115723967552185,0.6901041666666667,4.307265758514404
17,17,common_voice_es_19982433.mp3,semillas con endosperma muy desarrollado,camels with enclosures are very dissolute,seeds with highly developed endosperm,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),0.44980737566947937,0.09803921568627452,2.8638956546783447
18,18,common_voice_es_19635389.mp3,jaeha es un hombre observador confiado persistente y ama la belleza,he has an observatory name confidant persistence and a bad name,jae ha is an observer confident persistent and loves beauty,BLEU = 4.46 18.2/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10),0.48373299837112427,0.44158415841584164,3.420506238937378
19,19,common_voice_es_19634535.mp3,muchas obras realizadas por el escultor ocupan espacios públicos y colecciones públicas y privadas,many works made by the sculptor occupy public spaces and public and private collections,many of the works made by the sculptor are exhibited in public places and also in public and private collections,BLEU = 31.17 85.7/53.8/41.7/27.3 (BP = 0.651 ratio = 0.700 hyp_len = 14 ref_len = 20),0.8691244125366211,0.66034282925639,5.131841659545898
20,20,common_voice_es_19720729.mp3,el segundo diseño era tener el motor delante del piloto,second design was to have the murderer in front of the pile,the second design was to have the motor in front of the driver,BLEU = 58.34 83.3/72.7/60.0/44.4 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13),0.6827365756034851,0.7720930232558141,3.2366509437561035
21,21,common_voice_es_19589274.mp3,está enterrado en el cementerio de la chacarita de buenos aires,is buried in the cemetery of the chicarato of buenos ayres,he is buried in chacarita cemetery in buenos aires,BLEU = 15.85 45.5/20.0/11.1/6.2 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9),0.7915040254592896,0.4043478260869566,3.8199474811553955
22,22,common_voice_es_19751228.mp3,y numerosos epónimos de especies,numerous species,as well as eponyms particularly from many other species,BLEU = 1.51 50.0/50.0/0.0/0.0 (BP = 0.030 ratio = 0.222 hyp_len = 2 ref_len = 9),0.5991340279579163,0.06024096385542168,3.7530159950256348
23,23,common_voice_es_19671541.mp3,sorbus subg,for bessie,sorbus s u b g,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 2 ref_len = 5),0.4273056089878082,0.0,2.807452917098999
24,24,common_voice_es_19646895.mp3,los pliegues de la mucosa disminuyen las paredes vaginales son más lisas,the pliers of the mucrosas minion the vigilance parade des semblances,the mucosal folds are reduced the vaginal walls are more even,BLEU = 4.46 18.2/5.0/2.8/1.6 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11),0.310996413230896,0.09090909090909091,2.5464446544647217
25,25,common_voice_es_19723356.mp3,esta opción es cuando menos difícil para la costumbre de una audiencia moderna,this option is even more difficult for a modern audience,this is the least difficult option for the customs of modern audiences,BLEU = 5.38 60.0/5.6/3.1/1.8 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12),0.7440415024757385,0.4064337599446558,4.264477252960205
26,26,common_voice_es_18949957.mp3,para que no me estallara la sien,i want to stay here,for my temple not to burst,BLEU = 8.75 20.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6),0.47229820489883423,0.0847457627118644,2.7172470092773438
27,27,common_voice_es_19655084.mp3,ambas arias están formadas sobre un lamento o ground bass,the fairies are forming tonics for orphans,lament and ground bass give this aria its shape,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9),0.4135020673274994,0.05681818181818182,2.338484764099121
28,28,common_voice_es_19505145.mp3,un tubo se extiende del cilindro superior al inferior,cuba was extinct from the superior cylinder to the inferior,a tube is extended from the superior cylinder to the inferior one,BLEU = 52.31 70.0/66.7/62.5/57.1 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12),0.4831419289112091,0.5923555863023174,3.7123780250549316
29,29,common_voice_es_19763719.mp3,su nombre es un homenaje a lewis carroll,its name is the name of the basque,his name is a tribute to lewis carroll,BLEU = 11.04 25.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.5374705195426941,0.125,2.7350502014160156
30,30,common_voice_es_19710474.mp3,afortunadamente el espacio es muy diferente,fortunately the space is very different,fortunately the space is very different,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6),0.9843317866325378,0.9976851851851852,4.638254165649414
31,31,common_voice_es_19271345.mp3,la nueva dirección era adversa a todos los proyectos que jrushchov había apoyado,a new direction was besieged to all the projects that cossacks had appointed,the new management was opposite to all the projects jrushchov had supported,BLEU = 22.24 53.8/25.0/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12),0.4805498421192169,0.5245403946702648,3.394064426422119
32,32,common_voice_es_19140612.mp3,la sede central se encuentra en las palmas de gran canaria,central seats in the grand canaria palms,the headquarter is in las palmas in gran canaria,BLEU = 6.50 42.9/8.3/5.0/3.1 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9),0.42676445841789246,0.17045454545454547,3.9728524684906006
33,33,common_voice_es_19691501.mp3,y el contesta bienvenida yūkosan,and hiccuptass fimbria lycosa,he then replies welcome yuko san,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6),0.32114431262016296,0.0,2.6849544048309326
34,34,common_voice_es_19766205.mp3,esta descomposición lleva a la transformada de fourier,the composition leads to the transformed diffusion,this decomposition leads to the fourier transform,BLEU = 24.45 42.9/33.3/20.0/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),0.617765486240387,0.5357142857142857,3.689483165740967
35,35,common_voice_es_19664442.mp3,es la estación situada más al oeste de todo el sistema de metro,is the station located more to the east of the whole natural system,it is the station located further west of the entire metro system,BLEU = 23.90 53.8/33.3/18.2/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12),0.665898859500885,0.4730983302411874,3.709226608276367
36,36,common_voice_es_19694257.mp3,en todas sus cruzadas asistieron un total de veintiocho millones de personas,with all its crosses there were a total of twenty eight million people,in all his crusades a total of twenty eight million people participated,BLEU = 48.63 61.5/50.0/45.5/40.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12),0.6510683298110962,0.65599173553719,4.320947647094727
37,37,common_voice_es_18362178.mp3,dani ¿has llevado los toldos a la chica de las hamacas,ani have you taken the toast to the chief of the amarchus,dani did you take the canopies to the girl from the hammocks,BLEU = 8.52 41.7/9.1/5.0/2.8 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12),0.45827600359916687,0.46875,2.2693123817443848
38,38,common_voice_es_18761224.mp3,pasan las horas y nadie ha hecho el gesto de lavar los platos,pass the hours and nobody has done the job of laying the plates,hours go by and nobody even tries to wash the dishes,BLEU = 7.35 30.8/8.3/4.5/2.5 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11),0.6675692200660706,0.3321428571428571,3.946106195449829
39,39,common_voice_es_20041443.mp3,stahlersholk richard,sacrilege,richard stahler sholk,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.135 ratio = 0.333 hyp_len = 1 ref_len = 3),0.509932816028595,0.0,2.768324136734009
40,40,common_voice_es_19124337.mp3,esto fue el principio de su declive,this was the principle of its decline,this was the beginning of their descent,BLEU = 26.27 57.1/33.3/20.0/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),0.7276661992073059,0.5357142857142857,4.453761100769043
41,41,common_voice_es_19745949.mp3,sin embargo tandy sufrió un aborto y el proyecto se suspendió,however tanya suffered a blow and the project was suspended,however tandy had an abortion and the project got suspended,BLEU = 17.75 50.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),0.7891179919242859,0.446,3.6558473110198975
42,42,common_voice_es_19697628.mp3,el gran maestro eligió a defensor para servir en su bando,grand mestralici was a defender to be served in his band,the grand master elected the defender to join his band,BLEU = 11.21 45.5/20.0/5.6/3.1 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10),0.5993678569793701,0.44158415841584164,3.1023271083831787
43,43,common_voice_es_19783434.mp3,cuando todavía era estudiante del colegio andino organizó su primer desfile de modas,when he was a student of the andino college he organized his first debate of models,when she was still a student in colegio andino she organized her first fashion show,BLEU = 6.69 43.8/6.7/3.6/1.9 (BP = 1.000 ratio = 1.067 hyp_len = 16 ref_len = 15),0.585191011428833,0.31761048790377083,3.988262891769409
44,44,common_voice_es_19140886.mp3,a veces tiende a ser un poco arrogante y narcisista especialmente si está ganando,sometimes its a little arrogant and an artistic especially if its gone,he sometimes tends to be a bit arrogant and narcissist specially when hes winning,BLEU = 6.82 33.3/9.1/5.0/2.8 (BP = 0.846 ratio = 0.857 hyp_len = 12 ref_len = 14),0.47949182987213135,0.22871376811594205,3.785832643508911
45,45,common_voice_es_19147728.mp3,estos juicios se conocieron con el nombre de juicios por la verdad,these bows were known with the name of deuceus for the truth,these judicial trials became known as truth trials,BLEU = 4.46 25.0/4.5/2.5/1.4 (BP = 1.000 ratio = 1.500 hyp_len = 12 ref_len = 8),0.4909763038158417,0.17857142857142858,3.184985637664795
46,46,common_voice_es_19675369.mp3,además existen otras iglesias de denominación cristiana,besides there are the churches of christian denomination,in addition there are other christian churches,BLEU = 13.13 50.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7),0.8147846460342407,0.4445422535211268,4.284144401550293
47,47,common_voice_es_19690020.mp3,la iglesia sufrió varias modificaciones a lo largo de la historia,church suffered various modifications the length of history,the church has experienced several changes throughout its history,BLEU = 6.41 37.5/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9),0.8616146445274353,0.16853932584269662,4.832427024841309
48,48,common_voice_es_20049525.mp3,es una estación única por su diseño,his automaton for its design,its a unique station thanks to its design,BLEU = 11.73 40.0/25.0/16.7/12.5 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8),0.4794369339942932,0.24350649350649353,3.2567245960235596
49,49,common_voice_es_19779761.mp3,la mayoría de sus habitantes son indígenas,most of its inhabitants are indigenous,indigenous people make up for the most of its inhabitants,BLEU = 27.59 83.3/60.0/50.0/33.3 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10),0.9084253907203674,0.5041666666666667,4.815475940704346
50,50,common_voice_es_19668061.mp3,clasificaron automáticamente el anfitrión canadá estados unidos y costa rica,they were automatically falsified in the amphibia canada the united states and costa rica,the host canada united states and costa rica qualified automatically,BLEU = 29.90 57.1/30.8/25.0/18.2 (BP = 1.000 ratio = 1.400 hyp_len = 14 ref_len = 10),0.5540369749069214,0.7211538461538461,3.429094076156616
51,51,common_voice_es_19598100.mp3,repitió esto en varias ocasiones aunque siendo relegado en la sumatoria por su compañero,he repeated this and several times although he was relegated in the assumatory for his companion,he repeated this on several occasions but was outperformed by his race partner in the final score,BLEU = 12.09 50.0/20.0/7.1/3.8 (BP = 0.939 ratio = 0.941 hyp_len = 16 ref_len = 17),0.4672524333000183,0.3735207100591716,3.8661227226257324
52,52,common_voice_es_20066509.mp3,los machos establecen una jerarquía que determina el derecho al apareamiento,the matches are established in a hierarchy that determines the right to the power,the males establish a hierarchy that determines the right to mate,BLEU = 44.71 57.1/46.2/41.7/36.4 (BP = 1.000 ratio = 1.273 hyp_len = 14 ref_len = 11),0.6673021912574768,0.7893805309734513,3.6447856426239014
53,53,common_voice_es_19631476.mp3,durante los años sesentas participó en varias manifestaciones campesinas,during the sixties he participated in various campaigns and manifestations,during the sixties he participated in several peasants protest march,BLEU = 51.70 60.0/55.6/50.0/42.9 (BP = 1.000 ratio = 1.000 hyp_len = 10 ref_len = 10),0.8228376507759094,0.5986111111111111,4.465150356292725
54,54,common_voice_es_19595248.mp3,él toca el piano la guitarra y el bajo,tune piana the guitar is still botcher,he plays piano guitar and the bass,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),0.47107869386672974,0.14285714285714285,3.259749174118042
55,55,common_voice_es_19699467.mp3,estos factores facilitan la asimilación,these factors facilitate simulation,these factors make assimilation easier to be achieved,BLEU = 11.75 50.0/33.3/25.0/25.0 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8),0.652647078037262,0.24671052631578946,4.275496482849121
56,56,common_voice_es_19617257.mp3,ofrece una visión forestal amplia e integrada que abarca aspectos económicos sociales y medioambientales,it offers an amplified and integrated form of vision that covers economic social and environmental aspects,it offers a broad and integrated forestry perspective that covers economic social and environmental aspects,BLEU = 44.80 68.8/53.3/35.7/30.8 (BP = 1.000 ratio = 1.067 hyp_len = 16 ref_len = 15),0.8343836069107056,0.721088063050736,4.420000076293945
57,57,common_voice_es_19668684.mp3,su físico le permite zafarse con facilidad de los defensas,isaac is permitted to do things with the defences,his her body allows him her to dodge the defenses easily,BLEU = 4.54 22.2/6.2/3.6/2.1 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11),0.5099248290061951,0.13888888888888887,3.3788347244262695
58,58,common_voice_es_19739209.mp3,como estudiante fue entre las fundadoras de la asociación de alumnado americana asiática,as a student he was among the founders of the association of the american essayist,as student she was one of the founders of the american asiatic student body association,BLEU = 26.01 66.7/35.7/23.1/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 15 ref_len = 15),0.7720271944999695,0.5523333333333333,3.742687463760376
59,59,common_voice_es_19990903.mp3,la retirada posterior realizada durante un severo invierno fue un completo desastre,the posterior attachment made during a severe winter was a complete disaster,the posterior withdrawal made during a hard winter was a complete disaster,BLEU = 46.60 83.3/63.6/40.0/22.2 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12),0.7479290962219238,0.8220833333333335,4.400079727172852
60,60,common_voice_es_19721914.mp3,el coordinador de las sesiones es un lector que anima y modera los debates,the co ordination of sessions is a lecture that animates and modifies debates,the coordinator of the sessions is a reader that cheers and moderates the debates,BLEU = 13.61 61.5/16.7/9.1/5.0 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14),0.6263599991798401,0.45413669064748197,4.039383411407471
61,61,common_voice_es_19614462.mp3,otro mundo es un juego de miniaturas de estrategia,the other world is a game of miniatures of sophia,sphere wars is a strategy figurine game,BLEU = 9.29 30.0/11.1/6.2/3.6 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7),0.4854795038700104,0.350076103500761,3.6000661849975586
62,62,common_voice_es_19726215.mp3,en temporada de primavera se incluyen ensaladas de pequeñas dimensiones a veces encurtidos diversos,in the summer season small dimensions are included in the summer season,during the spring season small size salads are also served and sometimes different types of pickles too,BLEU = 5.31 33.3/9.1/5.0/2.8 (BP = 0.659 ratio = 0.706 hyp_len = 12 ref_len = 17),0.40138185024261475,0.12121212121212123,3.189789056777954
63,63,common_voice_es_18539131.mp3,la gente se va a poner nerviosa que se preparen con los chalecos ,people came to be nervous they prepared with chalices,people are going to get nervous ready the vests,BLEU = 6.27 33.3/6.2/3.6/2.1 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),0.539683997631073,0.2222222222222222,3.3681790828704834
64,64,common_voice_es_19739775.mp3,en cambio los datos lingüísticos presentan un panorama diferente,however the language data present a different panorama,however the linguistic data presents a different panorama,BLEU = 27.05 75.0/42.9/16.7/10.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.9097614884376526,0.864795918367347,4.543952465057373
65,65,common_voice_es_18730812.mp3,a ver con la cremallera,see the crimea,lets see with the zipper,BLEU = 17.80 66.7/25.0/25.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5),0.4772563874721527,0.20833333333333331,2.603835105895996
66,66,common_voice_es_19671462.mp3,se elabora un excelente vino artesanal,his art is an excellent one,they make excellent handcraft wine,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5),0.56728595495224,0.09803921568627452,3.5140206813812256
67,67,common_voice_es_18438309.mp3,es importante que cuando te diga que no te muevas no te muevas,its important that when you say you dont like it you dont like it,its important that when i tell you to not move you dont move,BLEU = 21.97 50.0/30.8/16.7/9.1 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13),0.5198536515235901,0.5945849236641223,3.049522876739502
68,68,common_voice_es_19745593.mp3,una secuencia de instrucciones completa era conocida como display list lista de despliegue,sequence of complete destruction was known as despoilest despoilist,a complete instructions sequence was known as display list,BLEU = 20.16 55.6/25.0/14.3/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9),0.457785040140152,0.4955555555555556,3.2703323364257812
69,69,common_voice_es_20002550.mp3,la estación comenzó a emitir a color mientras que expandía su programación local,station began to mc call when it began as a local programme,the station started to broadcast in color and expanded its local programming,BLEU = 4.46 25.0/4.5/2.5/1.4 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12),0.5566977858543396,0.20833333333333337,3.4950618743896484
70,70,common_voice_es_19657878.mp3,en su homenaje un aula del instituto de cálculo lleva su nombre,in his own age the law of the calcutta institute gave him his name,in their honor one classroom in the calculus institute is named after them,BLEU = 3.74 21.4/3.8/2.1/1.1 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13),0.5358985662460327,0.15267175572519087,3.1040139198303223
71,71,common_voice_es_19672257.mp3,dirigió a nueva chicago en la primera b nacional,he directed to new chicago in the first bee national,he coached the nueva chicago team in the first national b,BLEU = 16.81 60.0/22.2/12.5/7.1 (BP = 0.905 ratio = 0.909 hyp_len = 10 ref_len = 11),0.5658549666404724,0.46890927624872564,3.841723680496216
72,72,common_voice_es_19449559.mp3,combatió en la batalla de arroyo grande al frente de un regimiento de caballería,he fought in the battle of oregon at the front of a cavalry regiment,he fought the great pond war as head of the cavalry regiment,BLEU = 9.24 50.0/15.4/4.2/2.3 (BP = 1.000 ratio = 1.167 hyp_len = 14 ref_len = 12),0.8405303359031677,0.46922047507527603,4.002981662750244
73,73,common_voice_es_19999203.mp3,algunos de sus descendientes fueron coronados como emperadores del sacro imperio romano germánico,some of its descendants were coronated as the emperors of german roman succor,some of their descendants were crowned as emperors of the sacred germanic roman empire,BLEU = 10.97 69.2/25.0/4.5/2.5 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14),0.7610296010971069,0.641726618705036,4.036001682281494
74,74,common_voice_es_18320032.mp3,en familia  como si fuera nochebuena ,family as if it was a good night,on family as if it was christmas eve,BLEU = 51.70 62.5/57.1/50.0/40.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.6893059015274048,0.6225,3.8687384128570557
75,75,common_voice_es_19271341.mp3,lideró a lanier a una temporada invicta,he let annie turn in the trays,he led lanier to a undefeated season,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7),0.369676798582077,0.07142857142857142,2.440251588821411
76,76,common_voice_es_19981417.mp3,la trayectoria histórica del colegio es compleja,the historical trajectory of the college is complete,the historical development of the school is complex,BLEU = 16.52 62.5/28.6/8.3/5.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8),0.749836266040802,0.5575,4.231432914733887
77,77,common_voice_es_19726211.mp3,fue su primera gran victoria como profesional,he was his first great victor as a profession,that was their first resounding victory as a professional competitor,BLEU = 10.15 44.4/12.5/7.1/4.2 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10),0.6255157589912415,0.3188131313131313,4.2537455558776855
78,78,common_voice_es_19521291.mp3,estudió composición y piano en las academias musicales de berlín y florencia,study composition and piano in the musical academics of berlin and florence,he studied scoring and piano at the music academies of berlin and florence,BLEU = 24.11 58.3/36.4/20.0/11.1 (BP = 0.920 ratio = 0.923 hyp_len = 12 ref_len = 13),0.8024476170539856,0.6670494784189874,4.60891056060791
79,79,common_voice_es_19089127.mp3,aquí he visto una cosa muy más dulce y extraña,he has seen a very nice and strange thing,ive seen something very sweet and strange here,BLEU = 11.34 44.4/12.5/7.1/4.2 (BP = 1.000 ratio = 1.125 hyp_len = 9 ref_len = 8),0.8274078965187073,0.3896604938271605,4.036270618438721
80,80,common_voice_es_19676851.mp3,maria antònia munar no está imputada en este caso,maria antonia is not impeded in this case,maria antonia munar has not been prosecuted for this offence,BLEU = 10.23 50.0/14.3/8.3/5.0 (BP = 0.779 ratio = 0.800 hyp_len = 8 ref_len = 10),0.6298149824142456,0.32206632653061223,3.6418938636779785
81,81,common_voice_es_19762807.mp3,tuvo cuatro hijos ilegítimos que aparecen en genealogías,he had four legitimate children who appeared in genealogy,he had four illegitimate children who appear in family trees,BLEU = 20.90 66.7/37.5/14.3/8.3 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10),0.81294184923172,0.6988249845392702,4.348409175872803
82,82,common_voice_es_20027276.mp3,corola en forma tubular,for all in shape to be,tubular shaped corolla,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 2.000 hyp_len = 6 ref_len = 3),0.37395942211151123,0.15151515151515152,3.070586919784546
83,83,common_voice_es_19717032.mp3,así se nos cuenta una historia de amor enmarcada dentro de hechos históricos,thus we have a history of love in the market within the historical features,that is how a love story is told to us in the context of historical events,BLEU = 6.48 42.9/7.7/4.2/2.3 (BP = 0.867 ratio = 0.875 hyp_len = 14 ref_len = 16),0.5928251147270203,0.189873417721519,3.678812026977539
84,84,common_voice_es_19631472.mp3,se considera arquetípica de los nazarenos el romanticismo religioso alemán,he is considered the archetypical of nazareth as the religious romanticism of germany,it is considered archetypal of the nazarenes the religious german romanticism,BLEU = 10.05 53.8/16.7/4.5/2.5 (BP = 1.000 ratio = 1.182 hyp_len = 13 ref_len = 11),0.7667962908744812,0.5636160714285714,4.454807281494141
85,85,common_voice_es_19699463.mp3,colabora con diversos medios de comunicación escritos y audiovisuales,he collaborates with several media communications writings and audio visual media,they cooperate with different mass media both written and audiovisual,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10),0.7445545196533203,0.14851485148514848,4.468721866607666
