,path,source_text,pred_text,ref_text,ASR_BLEU
10,common_voice_es_18309699.mp3,a ese grupo de amigos les gusta comer helados por la tarde,his friends are likely mooed by the late,that group of friends likes to eat ice creams in the afternoon,BLEU = 3.98 25.0/7.1/4.2/2.5 (BP = 0.607 ratio = 0.667 hyp_len = 8 ref_len = 12)
11,common_voice_es_18309702.mp3,a mi profesora le importa demasiado la gramática y muy poco el contenido,the professor approached the dramatist in very little content,my teacher cares too much about grammar and too little about content,BLEU = 4.06 22.2/6.2/3.6/2.1 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
12,common_voice_es_18309705.mp3,a decir verdad  eres demasiado genial ,seems to be true,actually you are too cool,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.779 ratio = 0.800 hyp_len = 4 ref_len = 5)
13,common_voice_es_18309709.mp3,a media conferencia ya pesaba higos,conferences had to miss,everyone was already bored at the middle of the conference,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.223 ratio = 0.400 hyp_len = 4 ref_len = 10)
14,common_voice_es_18309711.mp3,a mal tiempo buena cara,lets be in earnest,keep your chin up,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
15,common_voice_es_18309899.mp3,a buen entendedor pocas palabras bastan,good coming from few words,a word to the wise is enough,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.670 ratio = 0.714 hyp_len = 5 ref_len = 7)
16,common_voice_es_18309900.mp3,a mi me gustan mucho los perros,many like dogs,i dont like dogs so much,BLEU = 20.25 66.7/50.0/50.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 3 ref_len = 6)
17,common_voice_es_18309901.mp3,a dineros pagados brazos cruzados,some blast white arms,paid money arms crossed,BLEU = 15.97 25.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
18,common_voice_es_18310103.mp3, la dalila  continuaba anclada bajo el castillo de ulua ,let elisa was still anchored under the castle of yule,dalila continued anchored under the ulua castle,BLEU = 16.78 40.0/22.2/12.5/7.1 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
19,common_voice_es_18310105.mp3,a caballo regalado no le mires el dentado,it takes the horses,dont look a gift horse in the mouth,BLEU = 5.88 25.0/16.7/12.5/12.5 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8)
20,common_voice_es_18310110.mp3,a dios rogando y con el mazo dando,got strong and with a start,god helps those who help themselves,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
21,common_voice_es_18310112.mp3,a mala cama colchón de vino,lets have it in wine,a glass of wine will improve your night,BLEU = 5.86 20.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
22,common_voice_es_18311006.mp3,memoria selectiva para recordar lo bueno prudencia lógica para no arruinar el presente,maria elective memories to remarkable products to that region,selective memory to remember good things logic and prudence to not ruin the present,BLEU = 3.25 22.2/6.2/3.6/2.1 (BP = 0.574 ratio = 0.643 hyp_len = 9 ref_len = 14)
23,common_voice_es_18311008.mp3,quizás no somos muchos pero tenemos muchas ganas de trabajar,you were not there but we have a bit of work,we may not be many but we really want to work,BLEU = 8.91 36.4/10.0/5.6/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 11 ref_len = 11)
24,common_voice_es_18311009.mp3,bueno  he de seguir reparando mi nave ,well i have to take in my ship,well i have to continue repairing my ship,BLEU = 41.11 75.0/57.1/33.3/20.0 (BP = 1.000 ratio = 1.000 hyp_len = 8 ref_len = 8)
25,common_voice_es_18311010.mp3,me gustas con este slip tan reluciente,like this is like this,i like you with this slip so shiny,BLEU = 6.97 40.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
26,common_voice_es_18311272.mp3,una declaración de principios es exigible en este caso,apprehensive principles is exigible in this case,in this case a statement of principles is enforceable,BLEU = 23.10 71.4/50.0/20.0/12.5 (BP = 0.751 ratio = 0.778 hyp_len = 7 ref_len = 9)
27,common_voice_es_18311273.mp3,haciendo la maleta siempre se me olvida algo,makes a fire always mind something,i always forget about something when i pack my bags,BLEU = 4.96 33.3/10.0/6.2/4.2 (BP = 0.513 ratio = 0.600 hyp_len = 6 ref_len = 10)
28,common_voice_es_18311275.mp3,a lo mejor es una especie nueva  porque no la encuentro,may be a new species because it is not found,probably a new species because i cant find it,BLEU = 27.78 50.0/33.3/25.0/14.3 (BP = 1.000 ratio = 1.111 hyp_len = 10 ref_len = 9)
29,common_voice_es_18311276.mp3,buscándose en la oscuridad de la noche bajo el aguacero ,in the darkness of the night under the storm,looking each other in the darkness of the night under the rain,BLEU = 61.86 88.9/87.5/85.7/83.3 (BP = 0.717 ratio = 0.750 hyp_len = 9 ref_len = 12)
30,common_voice_es_18312162.mp3,bueno  debo regresar a reparar mi nave ,well i must return to my ship,well i need to go back to repair my ship,BLEU = 12.79 71.4/33.3/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
31,common_voice_es_18312163.mp3,arriba  usa las piernas ,come on use your legs,up use your legs,BLEU = 39.76 60.0/50.0/33.3/25.0 (BP = 1.000 ratio = 1.250 hyp_len = 5 ref_len = 4)
32,common_voice_es_18312165.mp3,al perro y al gato no les pongas en el mismo plato,and the silver ones to do the same,do not put the dog and cat in the same plate,BLEU = 9.55 62.5/14.3/8.3/5.0 (BP = 0.687 ratio = 0.727 hyp_len = 8 ref_len = 11)
33,common_voice_es_18312166.mp3,antes que acabes no te alabes,for works dont give you anything,dont count your chickens before they hatch,BLEU = 6.87 16.7/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
34,common_voice_es_18312751.mp3,cuando termina la vida de la escuela comienza la escuela de la vida,in the life of the school they starts a life,when schooling ends the schooling of life begins,BLEU = 5.52 30.0/5.6/3.1/1.8 (BP = 1.000 ratio = 1.250 hyp_len = 10 ref_len = 8)
35,common_voice_es_18312752.mp3,dice que quiere adelgazar antes del verano,she says that he will have to look for a member,he says he wants to get thinner before the summer,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
36,common_voice_es_18312753.mp3,ulises  lanzarnos al mar es como ,ulysses jumping to the sea is like,ulises throwing ourselves into the sea is like,BLEU = 35.64 57.1/50.0/40.0/25.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
37,common_voice_es_18312755.mp3,uh  reunión aplazada  ¿ ey  le echarás un vistazo a todos esos regalos ,oh you are the doctor i have been disturbing you,uh postponed meeting hey will you take a look at all these gifts,BLEU = 3.11 10.0/5.6/3.1/1.8 (BP = 0.741 ratio = 0.769 hyp_len = 10 ref_len = 13)
38,common_voice_es_18312756.mp3,de tal palo tal astilla,from the popular pill,like father like son,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
39,common_voice_es_18312921.mp3,a cada cerdo le llega su san martín,martins saving reason that hasnt gone,what goes around comes around,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
40,common_voice_es_18312934.mp3,a falta de hombres buenos a mi padre hicieron alcalde,half a loaf is my favourite,in the absence of good men my father was turned to mayor,BLEU = 2.99 16.7/10.0/6.2/4.2 (BP = 0.368 ratio = 0.500 hyp_len = 6 ref_len = 12)
41,common_voice_es_18312935.mp3, la dalila  quizá permanezca en el puerto ,the vallela makes the port,la dalia maybe she remains in the harbor,BLEU = 5.86 20.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
42,common_voice_es_18319513.mp3,adiós ¡cara bonita,it is carbonic,bye beautiful face,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.000 hyp_len = 3 ref_len = 3)
43,common_voice_es_18319514.mp3,tranquilos  saben hacer su trabajo ,come down know his work,calm down they know their business,BLEU = 10.40 40.0/12.5/8.3/6.2 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
44,common_voice_es_18319515.mp3,sumergíase en la niebla del pasado y saboreaba el placer de los recuerdos ,immersed in the fog of the past and was overwhelming,plunged into the fog of the past and savored the pleasure of memories,BLEU = 38.30 60.0/55.6/50.0/42.9 (BP = 0.741 ratio = 0.769 hyp_len = 10 ref_len = 13)
45,common_voice_es_18319762.mp3,las he encontrado en el bolsillo de tu chaqueta ,he was buried in two weeks,i found them in your jackets pocket,BLEU = 6.87 16.7/10.0/6.2/4.2 (BP = 0.846 ratio = 0.857 hyp_len = 6 ref_len = 7)
46,common_voice_es_18319763.mp3,gato con guantes no caza ratones,cat with great bridge,you have to get your hands dirty,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
47,common_voice_es_18319764.mp3,pero sabes que él siempre tendrá un lugar de especial para ti ,but you know that they will always have a special place for you,but you know he will always have an special place for you,BLEU = 35.74 76.9/58.3/36.4/10.0 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
48,common_voice_es_18319765.mp3,para hacer bien el amor hay que venir al sur,to make the love of love we must come into the south,to make good love you have to go down south,BLEU = 8.05 33.3/9.1/5.0/2.8 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
49,common_voice_es_18319766.mp3,los chiflados están todos encerrados en la antigua lonja,the cypress flowers are buried in the old red,all the mad people are locked up at the old market,BLEU = 9.08 44.4/12.5/7.1/4.2 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
50,common_voice_es_18320017.mp3,¿ es posible que los hayan matado ,it is possible that they have gone,is it possible that they have been killed,BLEU = 39.44 85.7/50.0/40.0/25.0 (BP = 0.867 ratio = 0.875 hyp_len = 7 ref_len = 8)
51,common_voice_es_18320018.mp3,¿qué discurso hizo la consejera,what of the councillor,what speech did the counselor make,BLEU = 11.52 50.0/16.7/12.5/12.5 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
52,common_voice_es_18320019.mp3,¿cuántos coches has tenido,hows his house,how many cars you have had,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 3 ref_len = 6)
53,common_voice_es_18320021.mp3,borrar lo que ha sucedido y empezar de cero ,stop the one who has located and start from scratch,erase the past and start from scratch,BLEU = 27.78 50.0/33.3/25.0/14.3 (BP = 1.000 ratio = 1.429 hyp_len = 10 ref_len = 7)
54,common_voice_es_18320022.mp3,los finales de vacaciones me dan asco,the vacations a vacation,holiday endings suck,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 1.000 ratio = 1.333 hyp_len = 4 ref_len = 3)
55,common_voice_es_18320029.mp3,y pude salir del jacal como si nada de aquel dolor hubiese visto ,you could go out from the shack the second one was ready,i wasnt able to get out of the shack as if that pain hadnt been seen,BLEU = 5.37 25.0/9.1/5.0/2.8 (BP = 0.717 ratio = 0.750 hyp_len = 12 ref_len = 16)
56,common_voice_es_18320030.mp3,¡ qué va  niña ,no no,shut up girl,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
57,common_voice_es_18320032.mp3,en familia  como si fuera nochebuena ,as a family like always,on family as if it was christmas eve,BLEU = 6.97 40.0/12.5/8.3/6.2 (BP = 0.549 ratio = 0.625 hyp_len = 5 ref_len = 8)
58,common_voice_es_18320033.mp3,al cabo de un momento  con voz apasionada y contrita  murmuró a mi oído ,at the end of the moment whispered most in contribution whispered to my ear,after a moment with a passionate and soft voice he whispered to my ear,BLEU = 18.80 35.7/23.1/16.7/9.1 (BP = 1.000 ratio = 1.000 hyp_len = 14 ref_len = 14)
59,common_voice_es_18324582.mp3,o no se hubiera arriesgado a coger las gafas para mi hija ,when he was not granted to pick up glasses from my daughter,wouldnt have risked to take the glasses for my daughter,BLEU = 8.05 33.3/9.1/5.0/2.8 (BP = 1.000 ratio = 1.200 hyp_len = 12 ref_len = 10)
60,common_voice_es_18324583.mp3,date prisa o perderemos el avión,give man or praise we will lose the plain,hurry up or well miss the plane,BLEU = 5.67 22.2/6.2/3.6/2.1 (BP = 1.000 ratio = 1.286 hyp_len = 9 ref_len = 7)
61,common_voice_es_18324584.mp3,lo he oído  pendejo ,i have not come for you,i heard that jackass,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.500 hyp_len = 6 ref_len = 4)
62,common_voice_es_18324585.mp3,iba todo tan bien ,it was also,everything was going so well,BLEU = 14.13 33.3/25.0/25.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5)
63,common_voice_es_18324586.mp3,ojos que no ven corazón que no siente,ive won with hard least,what the eye does not see the heart does not grieve over,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.247 ratio = 0.417 hyp_len = 5 ref_len = 12)
64,common_voice_es_18324612.mp3,¿ te acuerdas de cuando se hizo esa foto ,you remember when i matched,do you remember when did he take that picture,BLEU = 17.87 60.0/50.0/33.3/25.0 (BP = 0.449 ratio = 0.556 hyp_len = 5 ref_len = 9)
65,common_voice_es_18324613.mp3,instagram es la aplicación más usada por los jóvenes,this a grammar is the most used by the young man,instagram is the most used application by young people,BLEU = 25.97 54.5/30.0/22.2/12.5 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
66,common_voice_es_18324614.mp3,para el hambre de medianoche ,for the midnight and for the midnight,for a midnight hunger,BLEU = 7.81 28.6/8.3/5.0/3.1 (BP = 1.000 ratio = 1.750 hyp_len = 7 ref_len = 4)
67,common_voice_es_18324615.mp3,en morse  no  lo importante,morse coming no no,in morse code no the important thing,BLEU = 8.97 50.0/16.7/12.5/12.5 (BP = 0.472 ratio = 0.571 hyp_len = 4 ref_len = 7)
68,common_voice_es_18324616.mp3,estuve cerca de asustarme esa vez ,i was close again,i was close to getting scared that time,BLEU = 21.87 75.0/66.7/50.0/50.0 (BP = 0.368 ratio = 0.500 hyp_len = 4 ref_len = 8)
69,common_voice_es_18324617.mp3,¡ estuve allí  he jugado y he perdido ,i was there i played and lost,i was there i have played and i have lost,BLEU = 33.10 100.0/66.7/40.0/25.0 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
70,common_voice_es_18324618.mp3,otra maniobra así  vaquero  y harás que nos maten ,another manoeuvre of this kind come on and not make you kill me,another stunt like that cowboy and youre going to get us killed,BLEU = 3.67 15.4/4.2/2.3/1.2 (BP = 1.000 ratio = 1.083 hyp_len = 13 ref_len = 12)
71,common_voice_es_18324619.mp3,ante casa cada día hay más contenedores,afore day there were more contents,more and more containers arrive each day at home,BLEU = 5.85 33.3/10.0/6.2/4.2 (BP = 0.607 ratio = 0.667 hyp_len = 6 ref_len = 9)
72,common_voice_es_18324620.mp3,¡ sacad acá un candil  ,taking and ill,bring an oil lamp here,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.513 ratio = 0.600 hyp_len = 3 ref_len = 5)
73,common_voice_es_18324621.mp3,esto me da mucha rabia,this is a lot of radio,this angers me so much,BLEU = 8.12 16.7/10.0/6.2/4.2 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
74,common_voice_es_18327755.mp3,pablo toca la grilla todo el día,apollo red is paid,pablo touches the grid all day,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
75,common_voice_es_18327757.mp3,más vale doblarse que quebrarse,its better to see in his bad leg,better to bend than to break,BLEU = 11.04 25.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.333 hyp_len = 8 ref_len = 6)
76,common_voice_es_18327758.mp3,es lo que suele pasar con los secuestros ,it is usually passed with the securities,that is what usually happens with abductions,BLEU = 8.64 42.9/8.3/5.0/3.1 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
77,common_voice_es_18327759.mp3,es que yo no salgo con los novios de mi hermana ,its just as not something with my sister,i dont date with my sisters boyfriends,BLEU = 11.04 25.0/14.3/8.3/5.0 (BP = 1.000 ratio = 1.143 hyp_len = 8 ref_len = 7)
78,common_voice_es_18330888.mp3,¡ chaleco y al club ,shall i go into the club,vest and to the club,BLEU = 16.23 33.3/20.0/12.5/8.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
79,common_voice_es_18330891.mp3,estamos bien juntos ,we are good together,we are fine together,BLEU = 35.36 75.0/33.3/25.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
80,common_voice_es_18330892.mp3,capítulo veintinueve ,chapter twenty,chapter twenty nine,BLEU = 60.65 100.0/100.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 2 ref_len = 3)
81,common_voice_es_18330894.mp3,he estado muerto dieciséis minutos ,i have said for sixteen minutes,i have been death sixteen minutes,BLEU = 22.96 66.7/40.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
82,common_voice_es_18330895.mp3,era hermoso como un bastardo de césar borgia ,it was beautiful as a bastard of caesars borgia,he was as beautiful as a bastard of césar borgia,BLEU = 43.44 77.8/50.0/42.9/33.3 (BP = 0.895 ratio = 0.900 hyp_len = 9 ref_len = 10)
83,common_voice_es_18330896.mp3,pasé mi láser de aturdir a matar ,stands out of a bad lady,i changed my stun laser into kill mode,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 6 ref_len = 8)
84,common_voice_es_18330897.mp3,qué palo de película,ready for a movie,what a boring movie,BLEU = 19.00 50.0/16.7/12.5/12.5 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
85,common_voice_es_18330898.mp3,por su cuenta y escuchen mi orden  ¿ de acuerdo ,on your own and follow my command o k,on his own and listed to my order okay,BLEU = 11.34 44.4/12.5/7.1/4.2 (BP = 1.000 ratio = 1.000 hyp_len = 9 ref_len = 9)
86,common_voice_es_18330899.mp3,¿me podrías decir las respuestas del test,you could make the tests of the test,could you give me the answers of the test,BLEU = 21.57 75.0/28.6/16.7/10.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
87,common_voice_es_18330900.mp3,cuando la pobreza entra por la puerta el amor salta por la ventana,when poverty comes in the door the love comes for the window,when poverty enters through the door love jumps out from the window,BLEU = 12.19 58.3/27.3/5.0/2.8 (BP = 1.000 ratio = 1.000 hyp_len = 12 ref_len = 12)
88,common_voice_es_18330986.mp3,¡ cuánto me alegro de que no seas un dinosaurio ,i found a millionaire sores,i am so happy you are not a dinosaur,BLEU = 5.71 40.0/12.5/8.3/6.2 (BP = 0.449 ratio = 0.556 hyp_len = 5 ref_len = 9)
89,common_voice_es_18330987.mp3,arranca el ventilador,thats the window,turn on the fan,BLEU = 19.72 33.3/25.0/25.0/0.0 (BP = 0.717 ratio = 0.750 hyp_len = 3 ref_len = 4)
90,common_voice_es_18330988.mp3,entonces  es probable ,then it is probable,then it is possible,BLEU = 59.46 75.0/66.7/50.0/50.0 (BP = 1.000 ratio = 1.000 hyp_len = 4 ref_len = 4)
91,common_voice_es_18330989.mp3,capítulos quince y dieciséis de sonata de estío  de ramón maría del valleinclán ,chapters fifteen and sixteen of sonata de esthetico remount maria of valet inclin,chapter fifteen and sixteen of sonata de estio by ramon maria del valle inclan,BLEU = 36.62 53.8/41.7/36.4/30.0 (BP = 0.926 ratio = 0.929 hyp_len = 13 ref_len = 14)
92,common_voice_es_18330990.mp3,volví la cabeza y halléme con la niña chole ,he returned to it and with nina cholera,i turned my back and i found mrs chole,BLEU = 4.87 12.5/7.1/4.2/2.5 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
93,common_voice_es_18332480.mp3,palomares  ese no es mi problema ,palamaras thats not my problem,palomares that is not my problem,BLEU = 32.56 60.0/50.0/33.3/25.0 (BP = 0.819 ratio = 0.833 hyp_len = 5 ref_len = 6)
94,common_voice_es_18332481.mp3,walter y skyler white deberían tener una estatua humana en la rambla,walter and schuyler white had a status in the ramble,walter and skyler white should have a human statue at the rambla,BLEU = 8.64 50.0/11.1/6.2/3.6 (BP = 0.819 ratio = 0.833 hyp_len = 10 ref_len = 12)
95,common_voice_es_18332482.mp3,¿ qué estas tratando de hacer  nada ,what are you trying to do nothing,what are you trying to do nothing,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
96,common_voice_es_18332483.mp3,¿ estamos desbordados con los nuevos y me pide un picadero ,we are flowed with new ones and i ask you for us,we are outpouring with the new people and he asks me a riding school,BLEU = 7.21 41.7/9.1/5.0/2.8 (BP = 0.846 ratio = 0.857 hyp_len = 12 ref_len = 14)
97,common_voice_es_18332484.mp3,ahora ya no me interesas,now they were tired,im not interested in you anymore,BLEU = 0.00 0.0/0.0/0.0/0.0 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
98,common_voice_es_18334123.mp3,vamos  amigo  vamos ,lets go friend lets go,come on friend come on,BLEU = 10.68 20.0/12.5/8.3/6.2 (BP = 1.000 ratio = 1.000 hyp_len = 5 ref_len = 5)
99,common_voice_es_18334124.mp3,cada día los ponen más deberes,every day they post more than table,the amount of homework they give us increases every day,BLEU = 9.47 42.9/16.7/10.0/6.2 (BP = 0.651 ratio = 0.700 hyp_len = 7 ref_len = 10)
100,common_voice_es_18334125.mp3,¡ suba  mi amito  no se dilate  ,come up my boy dont delay,up my little boss dont delay,BLEU = 22.96 66.7/40.0/12.5/8.3 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
101,common_voice_es_18334127.mp3,oh  pues bien  tú y yo podremos cocinar más tarde ,oh well i will take you later we can do it,oh well o k you and i can cook later,BLEU = 9.86 54.5/10.0/5.6/3.1 (BP = 1.000 ratio = 1.100 hyp_len = 11 ref_len = 10)
102,common_voice_es_18338585.mp3,¿ qué tal a tres de cinco ,how about three out of five,how about three out five,BLEU = 53.73 83.3/60.0/50.0/33.3 (BP = 1.000 ratio = 1.200 hyp_len = 6 ref_len = 5)
103,common_voice_es_18338586.mp3,vamos  quiero decir  que no soy de citas especiales ,come on i mean it i want to tell you out,come on i want to say that i dont do special dates,BLEU = 21.42 54.5/40.0/22.2/6.2 (BP = 0.913 ratio = 0.917 hyp_len = 11 ref_len = 12)
104,common_voice_es_18338587.mp3,fray lope  en aquel momento  colmaba otro vaso igual ,friar lope at that moment allowed another valley,brother lope at that time filled another same glass,BLEU = 19.49 50.0/28.6/16.7/10.0 (BP = 0.882 ratio = 0.889 hyp_len = 8 ref_len = 9)
105,common_voice_es_18338588.mp3,hermanito  dice hermanito  anda ,for many i say that i said,little brother say brother come one,BLEU = 6.57 14.3/8.3/5.0/3.1 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
106,common_voice_es_18338589.mp3,tengo un mensaje para usted,i have a message for you,i have a message for you,BLEU = 100.00 100.0/100.0/100.0/100.0 (BP = 1.000 ratio = 1.000 hyp_len = 6 ref_len = 6)
107,common_voice_es_18338593.mp3,la pasta tiene un sabor sospechoso,he has a suspected,the pasta has a weird flavor,BLEU = 19.38 50.0/33.3/25.0/25.0 (BP = 0.607 ratio = 0.667 hyp_len = 4 ref_len = 6)
108,common_voice_es_18338594.mp3,si no hay otra cosa que podamos hacer ,if theres nothing else we can do,it theres nothing we can do,BLEU = 30.74 71.4/50.0/20.0/12.5 (BP = 1.000 ratio = 1.167 hyp_len = 7 ref_len = 6)
109,common_voice_es_18339548.mp3,es una historia muy larga  he dicho que llames a tu hermana ,its a very long story i already told you to call in your sister,its a very long history i told you to call in your sister,BLEU = 62.98 85.7/69.2/58.3/45.5 (BP = 1.000 ratio = 1.077 hyp_len = 14 ref_len = 13)
110,common_voice_es_18339549.mp3,yo pregunté  dominado por una cólera violenta ,i asked dominated by a violent rage,i asked dominated by the violent anger,BLEU = 43.47 71.4/50.0/40.0/25.0 (BP = 1.000 ratio = 1.000 hyp_len = 7 ref_len = 7)
111,common_voice_es_18339550.mp3,retirarme a descansar  hermana ,rest sister,i shall retire sister,BLEU = 18.39 50.0/50.0/0.0/0.0 (BP = 0.368 ratio = 0.500 hyp_len = 2 ref_len = 4)
112,common_voice_es_18339551.mp3,con queso pan y vino se anda mejor el camino,even though theyre basking wine it will be better the way,with cheese bread and wine the road is better,BLEU = 4.93 27.3/5.0/2.8/1.6 (BP = 1.000 ratio = 1.222 hyp_len = 11 ref_len = 9)
113,common_voice_es_18339552.mp3,escuche  les vamos a ayudar ,listen we are going to help you,listen well help you,BLEU = 14.54 42.9/16.7/10.0/6.2 (BP = 1.000 ratio = 1.750 hyp_len = 7 ref_len = 4)
114,common_voice_es_18339764.mp3,que tampoco tengo la culpa  no me tienes que explicar nada ,i am not guilty you dont have to explain,im not at fault either you dont have to explain anything,BLEU = 37.41 66.7/50.0/42.9/33.3 (BP = 0.801 ratio = 0.818 hyp_len = 9 ref_len = 11)
